"Aylik_Yas","raw","norm","percentile"
72,"95",43.69,26.4
72,"94",44.09,27.7
72,"93",44.5,29.1
72,"92",44.9,30.5
72,"91",45.31,31.9
72,"90",45.72,33.4
72,"89",46.13,35
72,"88",46.55,36.5
72,"87",46.97,38.1
72,"86",47.4,39.7
72,"85",47.82,41.4
72,"84",48.26,43.1
72,"83",48.69,44.8
72,"82",49.13,46.6
72,"81",49.58,48.3
72,"80",50.03,50.1
72,"79",50.49,52
72,"78",50.95,53.8
72,"77",51.42,55.6
72,"76",51.9,57.5
72,"75",52.38,59.4
72,"74",52.87,61.3
72,"73",53.36,63.2
72,"72",53.87,65.1
72,"71",54.38,66.9
72,"70",54.91,68.8
72,"69",55.44,70.7
72,"68",55.98,72.5
72,"67",56.54,74.3
72,"66",57.1,76.1
72,"65",57.68,77.9
72,"64",58.27,79.6
72,"63",58.88,81.3
72,"62",59.5,82.9
72,"61",60.14,84.5
72,"60",60.79,86
72,"59",61.47,87.4
72,"58",62.16,88.8
72,"57",62.88,90.1
72,"56",63.62,91.3
72,"55",64.38,92.5
72,"54",65.17,93.5
72,"53",65.98,94.5
72,"52",66.83,95.4
72,"51",67.7,96.2
72,"50",68.61,96.9
72,"49 - 47",69.54,97.5
73,"138 - 120",30.61,2.6
73,"119",31.33,3.1
73,"118",32,3.6
73,"117",32.62,4.1
73,"116",33.21,4.7
73,"115",33.77,5.2
73,"114",34.31,5.8
73,"113",34.83,6.5
73,"112",35.34,7.1
73,"111",35.83,7.8
73,"110",36.32,8.6
73,"109",36.79,9.3
73,"108",37.25,10.1
73,"107",37.71,11
73,"106",38.16,11.8
73,"105",38.6,12.7
73,"104",39.05,13.7
73,"103",39.48,14.6
73,"102",39.91,15.7
73,"101",40.34,16.7
73,"100",40.77,17.8
73,"99",41.2,18.9
73,"98",41.62,20.1
73,"97",42.05,21.3
73,"96",42.47,22.6
73,"95",42.89,23.9
73,"94",43.31,25.2
73,"93",43.74,26.6
73,"92",44.16,28
