"Aylik_Yas","raw","norm","percentile"
73,"58",58.23,79.5
73,"57",59.02,81.6
73,"56",59.82,83.7
73,"55",60.63,85.6
73,"54",61.44,87.4
73,"53",62.27,89
73,"52",63.1,90.5
73,"51",63.94,91.8
73,"50",64.79,93
73,"49",65.65,94.1
73,"48",66.52,95.1
73,"47",67.39,95.9
73,"46",68.27,96.6
73,"45 - 35",69.16,97.2
74,"100 - 95",30.3,2.4
74,"94",31.32,3.1
74,"93",32.26,3.8
74,"92",33.14,4.6
74,"91",33.98,5.5
74,"90",34.79,6.4
74,"89",35.57,7.4
74,"88",36.33,8.6
74,"87",37.07,9.8
74,"86",37.79,11.1
74,"85",38.5,12.5
74,"84",39.21,14
74,"83",39.9,15.6
74,"82",40.59,17.3
74,"81",41.27,19.1
74,"80",41.95,21
74,"79",42.63,23.1
74,"78",43.3,25.2
74,"77",43.98,27.4
74,"76",44.65,29.6
74,"75",45.33,32
74,"74",46.01,34.5
74,"73",46.69,37
74,"72",47.38,39.7
74,"71",48.07,42.3
74,"70",48.77,45.1
74,"69",49.47,47.9
74,"68",50.18,50.7
74,"67",50.91,53.6
74,"66",51.64,56.5
74,"65",52.38,59.4
74,"64",53.13,62.3
74,"63",53.9,65.2
74,"62",54.68,68
74,"61",55.48,70.8
74,"60",56.29,73.5
74,"59",57.12,76.2
74,"58",57.97,78.7
74,"57",58.85,81.2
74,"56",59.74,83.5
74,"55",60.67,85.7
74,"54",61.61,87.7
74,"53",62.59,89.6
74,"52",63.59,91.3
74,"51",64.63,92.8
74,"50",65.69,94.2
74,"49",66.79,95.3
74,"48",67.91,96.3
74,"47 - 35",69.06,97.2
75,"100 - 94",30.98,2.9
75,"93",32.02,3.6
75,"92",32.96,4.4
75,"91",33.84,5.3
75,"90",34.66,6.2
75,"89",35.44,7.3
75,"88",36.2,8.4
75,"87",36.93,9.6
75,"86",37.64,10.8
75,"85",38.33,12.2
75,"84",39.02,13.6
75,"83",39.69,15.1
75,"82",40.36,16.7
75,"81",41.02,18.5
75,"80",41.67,20.3
75,"79",42.33,22.1
75,"78",42.98,24.1
75,"77",43.63,26.2
75,"76",44.28,28.4
75,"75",44.94,30.6
75,"74",45.6,33
75,"73",46.26,35.4
75,"72",46.93,37.9
75,"71",47.61,40.5
75,"70",48.29,43.2
75,"69",48.98,46
75,"68",49.69,48.8
75,"67",50.4,51.6
75,"66",51.13,54.5
75,"65",51.88,57.5
75,"64",52.64,60.4
75,"63",53.42,63.4
75,"62",54.23,66.4
75,"61",55.05,69.3
75,"60",55.9,72.3
75,"59",56.79,75.1
75,"58",57.7,77.9
75,"57",58.65,80.7
75,"56",59.64,83.3
75,"55",60.68,85.7
75,"54",61.76,88
75,"53",62.9,90.1
75,"52",64.09,92.1
75,"51",65.34,93.7
75,"50",66.63,95.2
75,"49",67.97,96.4
75,"48 - 35",69.34,97.3
76,"100 - 94",30.71,2.7
76,"93",31.82,3.5
76,"92",32.78,4.3
76,"91",33.66,5.1
76,"90",34.48,6
76,"89",35.25,7
76,"88",35.99,8.1
76,"87",36.71,9.2
76,"86",37.4,10.4
76,"85",38.08,11.7
76,"84",38.75,13
76,"83",39.4,14.5
76,"82",40.05,16
76,"81",40.69,17.6
76,"80",41.33,19.3
76,"79",41.96,21.1
76,"78",42.6,23
76,"77",43.23,24.9
76,"76",43.87,27
76,"75",44.51,29.2
76,"74",45.16,31.4
76,"73",45.81,33.7
76,"72",46.46,36.2
76,"71",47.13,38.7
76,"70",47.81,41.3
76,"69",48.49,44
76,"68",49.19,46.8
76,"67",49.91,49.6
76,"66",50.64,52.5
76,"65",51.39,55.5
76,"64",52.16,58.6
76,"63",52.96,61.6
76,"62",53.78,64.7
76,"61",54.64,67.9
76,"60",55.52,71
76,"59",56.45,74.1
76,"58",57.42,77.1
76,"57",58.45,80.1
76,"56",59.52,83
76,"55",60.66,85.7
76,"54",61.86,88.2
76,"53",63.13,90.5
76,"52",64.47,92.6
76,"51",65.85,94.4
76,"50",67.26,95.8
76,"49 - 35",68.68,96.9
77,"100 - 94",30.6,2.6
77,"93",31.68,3.3
77,"92",32.62,4.1
77,"91",33.48,4.9
77,"90",34.27,5.8
77,"89",35.02,6.7
77,"88",35.74,7.7
77,"87",36.43,8.7
77,"86",37.1,9.9
77,"85",37.76,11
77,"84",38.41,12.3
